,target
172,neutral or dissatisfied
173,satisfied
174,satisfied
175,neutral or dissatisfied
176,satisfied
177,neutral or dissatisfied
178,neutral or dissatisfied
179,neutral or dissatisfied
180,neutral or dissatisfied
181,satisfied
182,neutral or dissatisfied
183,neutral or dissatisfied
184,satisfied
185,neutral or dissatisfied
186,neutral or dissatisfied
187,neutral or dissatisfied
188,satisfied
189,neutral or dissatisfied
190,satisfied
191,satisfied
192,neutral or dissatisfied
193,satisfied
194,neutral or dissatisfied
195,neutral or dissatisfied
196,satisfied
197,neutral or dissatisfied
198,satisfied
199,satisfied
200,neutral or dissatisfied
201,satisfied
202,neutral or dissatisfied
203,satisfied
204,satisfied
205,neutral or dissatisfied
206,neutral or dissatisfied
207,satisfied
208,neutral or dissatisfied
209,satisfied
210,satisfied
211,satisfied
212,satisfied
213,satisfied
214,neutral or dissatisfied
215,neutral or dissatisfied
216,satisfied
217,satisfied
218,neutral or dissatisfied
219,neutral or dissatisfied
220,neutral or dissatisfied
221,neutral or dissatisfied
222,satisfied
223,satisfied
224,neutral or dissatisfied
225,neutral or dissatisfied
226,neutral or dissatisfied
227,satisfied
228,neutral or dissatisfied
229,satisfied
230,neutral or dissatisfied
231,satisfied
232,satisfied
233,neutral or dissatisfied
234,neutral or dissatisfied
235,neutral or dissatisfied
236,neutral or dissatisfied
237,neutral or dissatisfied
238,neutral or dissatisfied
239,satisfied
240,satisfied
241,neutral or dissatisfied
242,neutral or dissatisfied
243,neutral or dissatisfied
244,neutral or dissatisfied
245,neutral or dissatisfied
246,neutral or dissatisfied
247,satisfied
248,neutral or dissatisfied
249,satisfied
250,satisfied
251,satisfied
252,satisfied
253,satisfied
254,satisfied
255,neutral or dissatisfied
256,neutral or dissatisfied
257,neutral or dissatisfied
258,neutral or dissatisfied
259,satisfied
260,neutral or dissatisfied
261,satisfied
262,neutral or dissatisfied
263,neutral or dissatisfied
264,satisfied
265,neutral or dissatisfied
266,satisfied
267,neutral or dissatisfied
268,neutral or dissatisfied
269,neutral or dissatisfied
270,satisfied
271,satisfied
272,neutral or dissatisfied
273,satisfied
274,satisfied
275,satisfied
276,neutral or dissatisfied
277,neutral or dissatisfied
278,satisfied
279,neutral or dissatisfied
280,satisfied
281,neutral or dissatisfied
282,neutral or dissatisfied
283,satisfied
284,neutral or dissatisfied
285,neutral or dissatisfied
286,neutral or dissatisfied
287,satisfied
288,satisfied
289,satisfied
290,satisfied
291,neutral or dissatisfied
292,satisfied
293,neutral or dissatisfied
294,satisfied
295,satisfied
296,neutral or dissatisfied
297,neutral or dissatisfied
298,neutral or dissatisfied
299,satisfied
300,neutral or dissatisfied
301,satisfied
302,neutral or dissatisfied
303,satisfied
304,satisfied
305,satisfied
306,neutral or dissatisfied
307,satisfied
308,satisfied
309,satisfied
310,satisfied
311,neutral or dissatisfied
312,satisfied
313,satisfied
314,satisfied
315,neutral or dissatisfied
316,neutral or dissatisfied
317,satisfied
318,neutral or dissatisfied
319,neutral or dissatisfied
320,neutral or dissatisfied
321,satisfied
322,satisfied
323,satisfied
324,satisfied
325,neutral or dissatisfied
326,neutral or dissatisfied
327,neutral or dissatisfied
328,satisfied
329,neutral or dissatisfied
330,neutral or dissatisfied
331,satisfied
332,neutral or dissatisfied
333,neutral or dissatisfied
334,neutral or dissatisfied
335,satisfied
336,satisfied
337,satisfied
338,neutral or dissatisfied
339,satisfied
340,satisfied
341,satisfied
342,neutral or dissatisfied
343,neutral or dissatisfied
344,satisfied
345,satisfied
346,satisfied
347,neutral or dissatisfied
348,neutral or dissatisfied
349,neutral or dissatisfied
350,satisfied
351,neutral or dissatisfied
352,neutral or dissatisfied
353,satisfied
354,neutral or dissatisfied
355,satisfied
356,satisfied
357,neutral or dissatisfied
358,neutral or dissatisfied
359,neutral or dissatisfied
360,neutral or dissatisfied
361,satisfied
362,neutral or dissatisfied
363,neutral or dissatisfied
364,neutral or dissatisfied
365,neutral or dissatisfied
366,satisfied
367,neutral or dissatisfied
368,satisfied
369,neutral or dissatisfied
370,satisfied
371,neutral or dissatisfied
372,neutral or dissatisfied
373,neutral or dissatisfied
374,satisfied
375,satisfied
376,neutral or dissatisfied
377,neutral or dissatisfied
378,satisfied
379,neutral or dissatisfied
380,satisfied
381,neutral or dissatisfied
382,neutral or dissatisfied
383,satisfied
384,satisfied
385,satisfied
386,neutral or dissatisfied
387,satisfied
388,neutral or dissatisfied
389,satisfied
390,satisfied
391,satisfied
392,neutral or dissatisfied
393,satisfied
394,satisfied
395,neutral or dissatisfied
396,neutral or dissatisfied
397,satisfied
398,satisfied
399,neutral or dissatisfied
400,neutral or dissatisfied
401,neutral or dissatisfied
402,neutral or dissatisfied
403,neutral or dissatisfied
404,neutral or dissatisfied
405,neutral or dissatisfied
406,neutral or dissatisfied
407,neutral or dissatisfied
408,neutral or dissatisfied
409,neutral or dissatisfied
410,neutral or dissatisfied
411,neutral or dissatisfied
412,neutral or dissatisfied
413,satisfied
414,satisfied
415,satisfied
416,neutral or dissatisfied
417,neutral or dissatisfied
418,neutral or dissatisfied
419,neutral or dissatisfied
420,neutral or dissatisfied
421,satisfied
422,satisfied
423,satisfied
424,neutral or dissatisfied
425,neutral or dissatisfied
426,satisfied
427,satisfied
428,neutral or dissatisfied
429,satisfied
430,satisfied
431,neutral or dissatisfied
432,neutral or dissatisfied
433,neutral or dissatisfied
434,satisfied
435,satisfied
436,satisfied
437,satisfied
438,neutral or dissatisfied
439,neutral or dissatisfied
440,neutral or dissatisfied
441,neutral or dissatisfied
442,satisfied
443,neutral or dissatisfied
444,neutral or dissatisfied
445,satisfied
446,neutral or dissatisfied
447,satisfied
448,neutral or dissatisfied
449,satisfied
450,neutral or dissatisfied
451,satisfied
452,satisfied
453,neutral or dissatisfied
454,neutral or dissatisfied
455,neutral or dissatisfied
456,neutral or dissatisfied
457,neutral or dissatisfied
458,satisfied
459,neutral or dissatisfied
460,satisfied
461,satisfied
462,neutral or dissatisfied
463,satisfied
464,neutral or dissatisfied
465,satisfied
466,neutral or dissatisfied
467,satisfied
468,satisfied
469,neutral or dissatisfied
470,satisfied
471,satisfied
472,neutral or dissatisfied
473,satisfied
474,satisfied
475,neutral or dissatisfied
476,satisfied
477,satisfied
478,satisfied
479,neutral or dissatisfied
480,neutral or dissatisfied
481,satisfied
482,neutral or dissatisfied
483,neutral or dissatisfied
484,satisfied
485,neutral or dissatisfied
486,neutral or dissatisfied
487,neutral or dissatisfied
488,satisfied
489,satisfied
490,neutral or dissatisfied
491,satisfied
492,satisfied
493,satisfied
494,satisfied
495,satisfied
496,neutral or dissatisfied
497,satisfied
498,satisfied
499,neutral or dissatisfied
500,satisfied
501,neutral or dissatisfied
502,neutral or dissatisfied
503,neutral or dissatisfied
504,satisfied
505,satisfied
506,neutral or dissatisfied
507,satisfied
508,neutral or dissatisfied
509,neutral or dissatisfied
510,satisfied
511,neutral or dissatisfied
512,satisfied
513,satisfied
514,neutral or dissatisfied
515,neutral or dissatisfied
516,neutral or dissatisfied
517,neutral or dissatisfied
518,neutral or dissatisfied
519,satisfied
520,neutral or dissatisfied
521,neutral or dissatisfied
522,satisfied
523,satisfied
524,neutral or dissatisfied
525,satisfied
526,satisfied
527,neutral or dissatisfied
528,neutral or dissatisfied
529,neutral or dissatisfied
530,satisfied
531,neutral or dissatisfied
532,satisfied
533,neutral or dissatisfied
534,neutral or dissatisfied
535,satisfied
536,neutral or dissatisfied
537,neutral or dissatisfied
538,neutral or dissatisfied
539,satisfied
540,satisfied
541,satisfied
542,satisfied
543,neutral or dissatisfied
544,neutral or dissatisfied
545,neutral or dissatisfied
546,satisfied
547,satisfied
548,neutral or dissatisfied
549,neutral or dissatisfied
550,neutral or dissatisfied
551,satisfied
552,neutral or dissatisfied
553,satisfied
554,satisfied
555,satisfied
556,neutral or dissatisfied
557,neutral or dissatisfied
558,neutral or dissatisfied
559,neutral or dissatisfied
560,satisfied
561,neutral or dissatisfied
562,satisfied
563,satisfied
564,neutral or dissatisfied
565,satisfied
566,satisfied
567,neutral or dissatisfied
568,satisfied
569,neutral or dissatisfied
570,neutral or dissatisfied
571,neutral or dissatisfied
572,satisfied
573,neutral or dissatisfied
574,satisfied
575,neutral or dissatisfied
576,neutral or dissatisfied
577,satisfied
578,neutral or dissatisfied
579,neutral or dissatisfied
580,satisfied
581,satisfied
582,satisfied
583,neutral or dissatisfied
584,neutral or dissatisfied
585,neutral or dissatisfied
586,neutral or dissatisfied
587,neutral or dissatisfied
588,neutral or dissatisfied
589,neutral or dissatisfied
590,satisfied
591,neutral or dissatisfied
592,neutral or dissatisfied
593,neutral or dissatisfied
594,neutral or dissatisfied
595,neutral or dissatisfied
596,neutral or dissatisfied
597,neutral or dissatisfied
598,satisfied
599,satisfied
600,neutral or dissatisfied
601,neutral or dissatisfied
602,satisfied
603,satisfied
604,neutral or dissatisfied
605,neutral or dissatisfied
606,satisfied
607,satisfied
608,neutral or dissatisfied
609,satisfied
610,satisfied
611,neutral or dissatisfied
612,satisfied
613,neutral or dissatisfied
614,satisfied
615,satisfied
616,satisfied
617,satisfied
618,satisfied
619,neutral or dissatisfied
620,neutral or dissatisfied
621,neutral or dissatisfied
622,satisfied
623,satisfied
624,satisfied
625,neutral or dissatisfied
626,neutral or dissatisfied
627,neutral or dissatisfied
628,satisfied
629,satisfied
630,neutral or dissatisfied
631,neutral or dissatisfied
632,neutral or dissatisfied
633,satisfied
634,satisfied
635,neutral or dissatisfied
636,satisfied
637,neutral or dissatisfied
638,satisfied
639,neutral or dissatisfied
640,neutral or dissatisfied
641,neutral or dissatisfied
642,neutral or dissatisfied
643,neutral or dissatisfied
644,satisfied
645,satisfied
646,neutral or dissatisfied
647,neutral or dissatisfied
648,satisfied
649,neutral or dissatisfied
650,satisfied
651,neutral or dissatisfied
652,neutral or dissatisfied
653,satisfied
654,neutral or dissatisfied
655,satisfied
656,neutral or dissatisfied
657,satisfied
658,neutral or dissatisfied
659,satisfied
660,satisfied
661,satisfied
662,neutral or dissatisfied
663,satisfied
664,satisfied
665,neutral or dissatisfied
666,neutral or dissatisfied
667,neutral or dissatisfied
668,neutral or dissatisfied
669,satisfied
670,neutral or dissatisfied
671,neutral or dissatisfied
672,satisfied
673,satisfied
674,neutral or dissatisfied
675,satisfied
676,neutral or dissatisfied
677,neutral or dissatisfied
678,satisfied
679,satisfied
680,satisfied
681,satisfied
682,satisfied
683,neutral or dissatisfied
684,neutral or dissatisfied
685,neutral or dissatisfied
686,satisfied
687,satisfied
688,neutral or dissatisfied
689,neutral or dissatisfied
690,neutral or dissatisfied
691,neutral or dissatisfied
692,satisfied
693,neutral or dissatisfied
694,neutral or dissatisfied
695,satisfied
696,satisfied
697,satisfied
698,satisfied
699,neutral or dissatisfied
700,satisfied
701,satisfied
702,neutral or dissatisfied
703,neutral or dissatisfied
704,satisfied
705,satisfied
706,satisfied
707,satisfied
708,neutral or dissatisfied
709,neutral or dissatisfied
710,neutral or dissatisfied
711,neutral or dissatisfied
712,neutral or dissatisfied
713,satisfied
714,neutral or dissatisfied
715,neutral or dissatisfied
716,neutral or dissatisfied
717,neutral or dissatisfied
718,satisfied
719,satisfied
720,satisfied
721,satisfied
722,satisfied
723,neutral or dissatisfied
724,satisfied
725,neutral or dissatisfied
726,neutral or dissatisfied
727,satisfied
728,satisfied
729,neutral or dissatisfied
730,satisfied
731,satisfied
732,neutral or dissatisfied
733,satisfied
734,neutral or dissatisfied
735,neutral or dissatisfied
736,neutral or dissatisfied
737,satisfied
738,neutral or dissatisfied
739,satisfied
740,satisfied
741,neutral or dissatisfied
742,satisfied
743,neutral or dissatisfied
744,satisfied
745,neutral or dissatisfied
746,satisfied
747,satisfied
748,neutral or dissatisfied
749,satisfied
750,satisfied
751,neutral or dissatisfied
752,satisfied
753,neutral or dissatisfied
754,satisfied
755,neutral or dissatisfied
756,neutral or dissatisfied
757,satisfied
758,satisfied
759,neutral or dissatisfied
760,neutral or dissatisfied
761,satisfied
762,neutral or dissatisfied
763,neutral or dissatisfied
764,satisfied
765,neutral or dissatisfied
766,neutral or dissatisfied
767,satisfied
768,satisfied
769,satisfied
770,neutral or dissatisfied
771,satisfied
772,satisfied
773,satisfied
774,neutral or dissatisfied
775,neutral or dissatisfied
776,neutral or dissatisfied
777,neutral or dissatisfied
778,neutral or dissatisfied
779,neutral or dissatisfied
780,satisfied
781,neutral or dissatisfied
782,neutral or dissatisfied
783,neutral or dissatisfied
784,neutral or dissatisfied
785,neutral or dissatisfied
786,satisfied
787,neutral or dissatisfied
788,neutral or dissatisfied
789,neutral or dissatisfied
790,neutral or dissatisfied
791,satisfied
792,satisfied
793,neutral or dissatisfied
794,neutral or dissatisfied
795,satisfied
796,neutral or dissatisfied
797,neutral or dissatisfied
798,neutral or dissatisfied
799,neutral or dissatisfied
800,neutral or dissatisfied
801,neutral or dissatisfied
802,satisfied
803,neutral or dissatisfied
804,neutral or dissatisfied
805,satisfied
806,neutral or dissatisfied
807,neutral or dissatisfied
808,neutral or dissatisfied
809,neutral or dissatisfied
810,neutral or dissatisfied
811,satisfied
812,neutral or dissatisfied
813,neutral or dissatisfied
814,neutral or dissatisfied
815,satisfied
816,satisfied
817,satisfied
818,neutral or dissatisfied
819,neutral or dissatisfied
820,satisfied
821,neutral or dissatisfied
822,neutral or dissatisfied
823,neutral or dissatisfied
824,satisfied
825,satisfied
826,satisfied
827,satisfied
828,neutral or dissatisfied
829,satisfied
830,satisfied
831,neutral or dissatisfied
832,satisfied
833,neutral or dissatisfied
834,neutral or dissatisfied
835,satisfied
836,neutral or dissatisfied
837,satisfied
838,neutral or dissatisfied
839,neutral or dissatisfied
840,satisfied
841,satisfied
842,satisfied
843,neutral or dissatisfied
844,satisfied
845,neutral or dissatisfied
846,neutral or dissatisfied
847,satisfied
848,neutral or dissatisfied
849,neutral or dissatisfied
850,satisfied
851,satisfied
852,neutral or dissatisfied
853,satisfied
854,satisfied
855,neutral or dissatisfied
856,neutral or dissatisfied
857,neutral or dissatisfied
858,neutral or dissatisfied
859,neutral or dissatisfied
860,satisfied
861,satisfied
862,neutral or dissatisfied
863,neutral or dissatisfied
864,neutral or dissatisfied
865,satisfied
866,satisfied
867,neutral or dissatisfied
868,satisfied
869,neutral or dissatisfied
870,neutral or dissatisfied
871,satisfied
872,satisfied
873,satisfied
874,satisfied
875,satisfied
876,neutral or dissatisfied
877,satisfied
878,satisfied
879,satisfied
880,satisfied
881,satisfied
882,neutral or dissatisfied
883,neutral or dissatisfied
884,satisfied
885,satisfied
886,neutral or dissatisfied
887,satisfied
888,neutral or dissatisfied
889,neutral or dissatisfied
890,neutral or dissatisfied
891,neutral or dissatisfied
892,neutral or dissatisfied
893,neutral or dissatisfied
894,neutral or dissatisfied
895,neutral or dissatisfied
896,satisfied
897,neutral or dissatisfied
898,neutral or dissatisfied
899,satisfied
900,satisfied
901,neutral or dissatisfied
902,neutral or dissatisfied
903,neutral or dissatisfied
904,satisfied
905,neutral or dissatisfied
906,neutral or dissatisfied
907,neutral or dissatisfied
908,satisfied
909,neutral or dissatisfied
910,neutral or dissatisfied
911,neutral or dissatisfied
912,neutral or dissatisfied
913,satisfied
914,neutral or dissatisfied
915,satisfied
916,satisfied
917,satisfied
918,neutral or dissatisfied
919,neutral or dissatisfied
920,satisfied
921,neutral or dissatisfied
922,satisfied
923,satisfied
924,neutral or dissatisfied
925,neutral or dissatisfied
926,satisfied
927,neutral or dissatisfied
928,satisfied
929,satisfied
930,satisfied
931,satisfied
932,neutral or dissatisfied
933,neutral or dissatisfied
934,satisfied
935,neutral or dissatisfied
936,satisfied
937,neutral or dissatisfied
938,neutral or dissatisfied
939,satisfied
940,satisfied
941,satisfied
942,satisfied
943,satisfied
944,neutral or dissatisfied
945,neutral or dissatisfied
946,satisfied
947,neutral or dissatisfied
948,neutral or dissatisfied
949,satisfied
950,satisfied
951,neutral or dissatisfied
952,neutral or dissatisfied
953,neutral or dissatisfied
954,satisfied
955,neutral or dissatisfied
956,neutral or dissatisfied
957,satisfied
958,neutral or dissatisfied
959,satisfied
960,satisfied
961,satisfied
962,neutral or dissatisfied
963,satisfied
964,neutral or dissatisfied
965,neutral or dissatisfied
966,neutral or dissatisfied
967,neutral or dissatisfied
968,satisfied
969,neutral or dissatisfied
970,satisfied
971,neutral or dissatisfied
972,neutral or dissatisfied
973,satisfied
974,satisfied
975,neutral or dissatisfied
976,neutral or dissatisfied
977,neutral or dissatisfied
978,neutral or dissatisfied
979,neutral or dissatisfied
980,neutral or dissatisfied
981,satisfied
982,neutral or dissatisfied
983,satisfied
984,neutral or dissatisfied
985,neutral or dissatisfied
986,neutral or dissatisfied
987,neutral or dissatisfied
988,neutral or dissatisfied
989,neutral or dissatisfied
990,neutral or dissatisfied
991,satisfied
992,neutral or dissatisfied
993,satisfied
994,satisfied
995,neutral or dissatisfied
996,satisfied
997,satisfied
998,neutral or dissatisfied
999,neutral or dissatisfied
1000,neutral or dissatisfied
1001,satisfied
1002,satisfied
1003,satisfied
1004,satisfied
1005,neutral or dissatisfied
1006,satisfied
1007,neutral or dissatisfied
1008,neutral or dissatisfied
1009,neutral or dissatisfied
1010,neutral or dissatisfied
1011,satisfied
1012,satisfied
1013,neutral or dissatisfied
1014,neutral or dissatisfied
1015,satisfied
1016,neutral or dissatisfied
1017,neutral or dissatisfied
1018,neutral or dissatisfied
1019,neutral or dissatisfied
1020,neutral or dissatisfied
1021,satisfied
1022,satisfied
1023,neutral or dissatisfied
1024,neutral or dissatisfied
1025,neutral or dissatisfied
1026,neutral or dissatisfied
1027,neutral or dissatisfied
1028,neutral or dissatisfied
1029,satisfied
1030,neutral or dissatisfied
1031,satisfied
1032,satisfied
1033,neutral or dissatisfied
1034,neutral or dissatisfied
1035,neutral or dissatisfied
1036,satisfied
1037,neutral or dissatisfied
1038,neutral or dissatisfied
1039,neutral or dissatisfied
1040,neutral or dissatisfied
1041,satisfied
1042,neutral or dissatisfied
1043,neutral or dissatisfied
1044,neutral or dissatisfied
1045,neutral or dissatisfied
1046,satisfied
1047,satisfied
1048,satisfied
1049,satisfied
1050,satisfied
1051,satisfied
1052,satisfied
1053,neutral or dissatisfied
1054,satisfied
1055,neutral or dissatisfied
1056,neutral or dissatisfied
1057,satisfied
1058,neutral or dissatisfied
1059,neutral or dissatisfied
1060,neutral or dissatisfied
1061,satisfied
1062,satisfied
1063,satisfied
1064,satisfied
1065,neutral or dissatisfied
1066,neutral or dissatisfied
1067,satisfied
1068,neutral or dissatisfied
1069,neutral or dissatisfied
1070,satisfied
1071,neutral or dissatisfied
1072,satisfied
1073,satisfied
1074,satisfied
1075,satisfied
1076,satisfied
1077,satisfied
1078,neutral or dissatisfied
1079,neutral or dissatisfied
1080,neutral or dissatisfied
1081,neutral or dissatisfied
1082,satisfied
1083,satisfied
1084,neutral or dissatisfied
1085,neutral or dissatisfied
1086,neutral or dissatisfied
1087,satisfied
1088,satisfied
1089,neutral or dissatisfied
1090,neutral or dissatisfied
1091,neutral or dissatisfied
1092,neutral or dissatisfied
1093,neutral or dissatisfied
1094,satisfied
1095,neutral or dissatisfied
1096,neutral or dissatisfied
1097,satisfied
1098,neutral or dissatisfied
1099,satisfied
1100,neutral or dissatisfied
1101,neutral or dissatisfied
1102,neutral or dissatisfied
1103,satisfied
1104,neutral or dissatisfied
1105,neutral or dissatisfied
1106,satisfied
1107,neutral or dissatisfied
1108,satisfied
1109,neutral or dissatisfied
1110,satisfied
1111,neutral or dissatisfied
1112,neutral or dissatisfied
1113,satisfied
1114,satisfied
1115,satisfied
1116,satisfied
1117,satisfied
1118,satisfied
1119,neutral or dissatisfied
1120,neutral or dissatisfied
1121,neutral or dissatisfied
1122,satisfied
1123,neutral or dissatisfied
1124,neutral or dissatisfied
1125,satisfied
1126,satisfied
1127,neutral or dissatisfied
1128,satisfied
1129,neutral or dissatisfied
1130,neutral or dissatisfied
1131,satisfied
1132,neutral or dissatisfied
1133,satisfied
1134,neutral or dissatisfied
1135,neutral or dissatisfied
1136,neutral or dissatisfied
1137,satisfied
1138,neutral or dissatisfied
1139,neutral or dissatisfied
1140,neutral or dissatisfied
1141,satisfied
1142,neutral or dissatisfied
1143,satisfied
1144,neutral or dissatisfied
1145,neutral or dissatisfied
1146,satisfied
1147,neutral or dissatisfied
1148,neutral or dissatisfied
1149,satisfied
1150,neutral or dissatisfied
1151,satisfied
1152,satisfied
1153,neutral or dissatisfied
1154,neutral or dissatisfied
1155,satisfied
1156,satisfied
1157,neutral or dissatisfied
1158,satisfied
1159,satisfied
1160,satisfied
1161,satisfied
1162,neutral or dissatisfied
1163,satisfied
1164,satisfied
1165,neutral or dissatisfied
1166,satisfied
1167,satisfied
1168,neutral or dissatisfied
1169,neutral or dissatisfied
1170,neutral or dissatisfied
1171,satisfied
1172,neutral or dissatisfied
1173,neutral or dissatisfied
1174,satisfied
1175,neutral or dissatisfied
1176,satisfied
1177,satisfied
1178,neutral or dissatisfied
1179,neutral or dissatisfied
1180,neutral or dissatisfied
1181,satisfied
1182,satisfied
1183,neutral or dissatisfied
1184,neutral or dissatisfied
1185,neutral or dissatisfied
1186,neutral or dissatisfied
1187,neutral or dissatisfied
1188,satisfied
1189,satisfied
1190,neutral or dissatisfied
1191,neutral or dissatisfied
1192,satisfied
1193,satisfied
1194,satisfied
1195,neutral or dissatisfied
1196,satisfied
1197,satisfied
1198,neutral or dissatisfied
1199,neutral or dissatisfied
1200,neutral or dissatisfied
1201,neutral or dissatisfied
1202,satisfied
1203,neutral or dissatisfied
1204,satisfied
1205,satisfied
1206,neutral or dissatisfied
1207,satisfied
1208,neutral or dissatisfied
1209,neutral or dissatisfied
1210,neutral or dissatisfied
1211,satisfied
1212,neutral or dissatisfied
1213,satisfied
1214,satisfied
1215,neutral or dissatisfied
1216,satisfied
1217,neutral or dissatisfied
1218,satisfied
1219,neutral or dissatisfied
1220,satisfied
1221,neutral or dissatisfied
1222,neutral or dissatisfied
1223,satisfied
1224,neutral or dissatisfied
1225,neutral or dissatisfied
1226,neutral or dissatisfied
1227,neutral or dissatisfied
1228,neutral or dissatisfied
1229,satisfied
1230,satisfied
1231,satisfied
1232,neutral or dissatisfied
1233,neutral or dissatisfied
1234,neutral or dissatisfied
1235,neutral or dissatisfied
1236,neutral or dissatisfied
1237,satisfied
1238,neutral or dissatisfied
1239,satisfied
1240,neutral or dissatisfied
1241,satisfied
1242,satisfied
1243,neutral or dissatisfied
1244,satisfied
1245,satisfied
1246,satisfied
1247,neutral or dissatisfied
1248,satisfied
1249,satisfied
1250,satisfied
1251,neutral or dissatisfied
1252,satisfied
1253,satisfied
1254,satisfied
1255,satisfied
1256,neutral or dissatisfied
1257,satisfied
1258,satisfied
1259,satisfied
1260,neutral or dissatisfied
1261,neutral or dissatisfied
1262,neutral or dissatisfied
1263,satisfied
1264,neutral or dissatisfied
1265,neutral or dissatisfied
1266,neutral or dissatisfied
1267,neutral or dissatisfied
1268,satisfied
1269,neutral or dissatisfied
1270,satisfied
1271,neutral or dissatisfied
1272,satisfied
1273,neutral or dissatisfied
1274,satisfied
1275,neutral or dissatisfied
1276,satisfied
1277,neutral or dissatisfied
1278,satisfied
1279,satisfied
1280,satisfied
1281,satisfied
1282,satisfied
1283,satisfied
1284,neutral or dissatisfied
1285,satisfied
1286,neutral or dissatisfied
1287,satisfied
1288,satisfied
1289,neutral or dissatisfied
1290,satisfied
1291,neutral or dissatisfied
1292,neutral or dissatisfied
1293,satisfied
1294,neutral or dissatisfied
1295,satisfied
1296,satisfied
1297,neutral or dissatisfied
1298,satisfied
1299,neutral or dissatisfied
1300,neutral or dissatisfied
1301,neutral or dissatisfied
1302,neutral or dissatisfied
1303,satisfied
1304,neutral or dissatisfied
1305,neutral or dissatisfied
1306,satisfied
1307,satisfied
1308,satisfied
1309,satisfied
1310,satisfied
1311,neutral or dissatisfied
1312,neutral or dissatisfied
1313,neutral or dissatisfied
1314,neutral or dissatisfied
1315,satisfied
1316,neutral or dissatisfied
1317,satisfied
1318,satisfied
1319,satisfied
1320,satisfied
1321,satisfied
1322,neutral or dissatisfied
1323,satisfied
1324,neutral or dissatisfied
1325,satisfied
1326,satisfied
1327,satisfied
1328,satisfied
1329,satisfied
1330,satisfied
1331,neutral or dissatisfied
1332,neutral or dissatisfied
1333,satisfied
